bite_date,Species,Breed,Gender,victim_zip,Bittenpart,quarantine_date
2010/4/22 0:00,CAT,,MALE,40213,BODY,2010/4/22 0:00
2010/4/22 0:00,DOG,,FEMALE,40220,BODY,2010/4/23 0:00
2010/4/22 0:00,CAT,,MALE,40023,BODY,2010/4/23 0:00
2010/4/23 0:00,DOG,,MALE,40245,BODY,2010/4/23 0:00
2010/4/23 0:00,DOG,,MALE,40118,BODY,2010/4/26 0:00
2010/4/23 0:00,DOG,,UNKNOWN,40211,BODY,2010/4/23 0:00
2010/4/24 0:00,DOG,,FEMALE,40218,BODY,2010/4/26 0:00
2010/4/26 0:00,DOG,,UNKNOWN,40241,BODY,
2010/4/26 0:00,DOG,,UNKNOWN,40241,BODY,2010/4/27 0:00
2010/4/26 0:00,DOG,,UNKNOWN,40272,BODY,2010/4/29 0:00
2010/4/27 0:00,DOG,,MALE,40208,HEAD,2010/4/29 0:00
2010/4/28 0:00,DOG,,FEMALE,40014,BODY,2010/4/29 0:00
2010/4/28 0:00,CAT,,UNKNOWN,40291,BODY,2010/4/29 0:00
2010/4/28 0:00,DOG,,UNKNOWN,40216,BODY,2010/4/29 0:00
2010/4/28 0:00,DOG,,MALE,47119-9567,BODY,2010/4/29 0:00
2010/4/28 0:00,DOG,,MALE,40214,BODY,2010/4/28 0:00
2010/4/28 0:00,DOG,,UNKNOWN,40228,BODY,2010/5/6 0:00
2010/4/29 0:00,DOG,,FEMALE,47135,HEAD,2010/5/3 0:00
2010/4/29 0:00,DOG,,UNKNOWN,40216,BODY,2010/4/30 0:00
2010/4/30 0:00,DOG,,MALE,40272,BODY,2010/5/6 0:00
2010/4/30 0:00,DOG,,UNKNOWN,40215,BODY,2010/4/30 0:00
2010/5/1 0:00,DOG,,MALE,40059,HEAD,2010/5/3 0:00
2010/5/1 0:00,DOG,,MALE,40215,BODY,2010/5/3 0:00
2010/5/1 0:00,DOG,,UNKNOWN,40212,BODY,2010/5/3 0:00
2010/5/1 0:00,DOG,,MALE,40207,HEAD,2010/5/5 0:00
2010/5/1 0:00,DOG,,UNKNOWN,40217,BODY,2010/5/5 0:00
2010/5/1 0:00,DOG,,MALE,40205,HEAD,2010/5/6 0:00
2010/5/2 0:00,DOG,,FEMALE,40210,BODY,2010/5/3 0:00
2010/5/3 0:00,DOG,,UNKNOWN,40219,BODY,2010/5/3 0:00
2010/5/3 0:00,DOG,,UNKNOWN,40229,HEAD,2010/5/5 0:00
